,WindowSize,EmbedDimen,VocabSize,SeqLen,NegativeSample,TrainingDataSize,AccuracyTrain,LossTrain,AccuracyTest,LossTest,RunTime
0,2,16,1842,10,4,34664,0.5611617565155029,1.1864631175994873,0.4046224057674408,1.4114155769348145,1
1,2,64,1842,10,4,34851,0.8419415354728699,0.7061172723770142,0.400390625,1.4664788246154785,4
2,2,128,1842,10,4,34702,0.9466145634651184,0.3987734317779541,0.3929036557674408,1.5510095357894897,3
3,2,256,1842,10,4,34498,0.9764122366905212,0.21866324543952942,0.3937174379825592,1.653027892112732,6
4,2,512,1842,10,4,34752,0.9837962985038757,0.1320526897907257,0.4031575620174408,1.7652212381362915,10
5,3,16,1842,10,4,44701,0.5416762232780457,1.2021266222000122,0.390869140625,1.4258661270141602,2
6,3,64,1842,10,4,44175,0.838263988494873,0.6906828880310059,0.3785400390625,1.5207480192184448,3
7,3,128,1842,10,4,44777,0.9399988651275635,0.39686474204063416,0.3907470703125,1.5895932912826538,5
8,3,256,1842,10,4,44719,0.970588207244873,0.21959622204303741,0.380859375,1.736957311630249,7
9,3,512,1842,10,4,45527,0.9780412912368774,0.1391763985157013,0.3865966796875,1.855269432067871,490
10,4,16,1842,10,4,49377,0.5327919125556946,1.215291976928711,0.3795572817325592,1.4443249702453613,2
11,4,64,1842,10,4,49044,0.8330591917037964,0.6929566264152527,0.3694661557674408,1.5095078945159912,4
12,4,128,1842,10,4,50202,0.9370993375778198,0.39295804500579834,0.3786892294883728,1.6238170862197876,5
13,4,256,1842,10,4,49424,0.9681075215339661,0.22088688611984253,0.3756510317325592,1.7880884408950806,8
14,4,512,1842,10,4,49378,0.9751747250556946,0.14274577796459198,0.3666449785232544,1.9623448848724365,14
15,5,16,1842,10,4,52236,0.528881847858429,1.2117067575454712,0.3837890625,1.4374284744262695,2
16,5,64,1842,10,4,51809,0.8318115472793579,0.6909366846084595,0.3760742247104645,1.5225242376327515,1017
17,5,128,1842,10,4,51480,0.933349609375,0.3937670588493347,0.37578123807907104,1.6278934478759766,6
18,5,256,1842,10,4,52023,0.9671386480331421,0.2202083170413971,0.3790039122104645,1.7744067907333374,9
19,5,512,1842,10,4,51732,0.9737548828125,0.14436328411102295,0.37890625,1.9187475442886353,15
20,2,16,1842,10,8,35004,0.41760706901550293,1.7272875308990479,0.28955078125,1.9825916290283203,2
21,2,64,1842,10,8,34792,0.7149522304534912,1.1334744691848755,0.2908528745174408,2.033804416656494,4
22,2,128,1842,10,8,34707,0.8649088740348816,0.7049778699874878,0.2861328125,2.149817705154419,8
23,2,256,1842,10,8,35203,0.9342809319496155,0.410187691450119,0.29345703125,2.302790403366089,7
24,2,512,1842,10,8,34802,0.9483868479728699,0.26975175738334656,0.2902018129825592,2.487882375717163,12
25,3,16,1842,10,8,44066,0.39134305715560913,1.7510603666305542,0.2723388671875,2.003756523132324,3
26,3,64,1842,10,8,44376,0.7019761204719543,1.1341969966888428,0.2880859375,2.0522725582122803,5
27,3,128,1842,10,8,44730,0.8579388856887817,0.6991196870803833,0.2760009765625,2.205653429031372,6
28,3,256,1842,10,8,44167,0.9239717125892639,0.4122335612773895,0.2720947265625,2.404184103012085,9
29,3,512,1842,10,8,43974,0.9363511204719543,0.2896874248981476,0.26953125,2.657618522644043,19
30,4,16,1842,10,8,49218,0.38977694511413574,1.751194953918457,0.2749565839767456,2.004058599472046,3
31,4,64,1842,10,8,49565,0.6997841000556946,1.126483678817749,0.2654079794883728,2.0875418186187744,5
32,4,128,1842,10,8,49094,0.8506887555122375,0.6996175646781921,0.2646484375,2.261013984680176,7
33,4,256,1842,10,8,49609,0.9124434590339661,0.42615464329719543,0.2686631977558136,2.4403910636901855,10
34,4,512,1842,10,8,49452,0.9268606305122375,0.3055245280265808,0.2696397602558136,2.719703197479248,17
35,5,16,1842,10,8,51667,0.38911134004592896,1.756975769996643,0.2724609375,1.996246099472046,3
36,5,64,1842,10,8,51732,0.6973876953125,1.1176427602767944,0.26806640625,2.084103584289551,5
37,5,128,1842,10,8,51749,0.8460448980331421,0.7084646224975586,0.2666015625,2.2401397228240967,7
38,5,256,1842,10,8,52097,0.910205066204071,0.43090978264808655,0.27001953125,2.464024782180786,980
39,5,512,1842,10,8,51782,0.9239746332168579,0.30791789293289185,0.265625,2.7057321071624756,21
40,2,16,1842,10,16,34650,0.29626011848449707,2.342172384262085,0.22705078125,2.5948235988616943,2
41,2,64,1842,10,16,34300,0.5439077615737915,1.683573603630066,0.2320963591337204,2.6319499015808105,4
42,2,128,1842,10,16,34936,0.7457682490348816,1.1145803928375244,0.2220052033662796,2.755086898803711,5
43,2,256,1842,10,16,34951,0.8611111044883728,0.677310585975647,0.20849609375,3.0248677730560303,9
44,2,512,1842,10,16,33982,0.8821364045143127,0.48163312673568726,0.2080078125,3.3566884994506836,16
45,3,16,1842,10,16,43982,0.28845933079719543,2.347926139831543,0.2274169921875,2.596346139907837,2
46,3,64,1842,10,16,43725,0.5361328125,1.6712456941604614,0.218017578125,2.6719443798065186,4
47,3,128,1842,10,16,44237,0.7387408018112183,1.1129652261734009,0.2039794921875,2.827924966812134,6
48,3,256,1842,10,16,44128,0.8328354954719543,0.7105588912963867,0.2052001953125,3.088043212890625,698
49,3,512,1842,10,16,44464,0.8575080633163452,0.5216042399406433,0.2000732421875,3.491521120071411,20
50,4,16,1842,10,16,49914,0.27945107221603394,2.3647022247314453,0.2096354216337204,2.6156132221221924,3
51,4,64,1842,10,16,49496,0.5363126993179321,1.653332233428955,0.2020399272441864,2.7047770023345947,5
52,4,128,1842,10,16,49488,0.7303402423858643,1.1181100606918335,0.1942274272441864,2.8791208267211914,7
53,4,256,1842,10,16,48894,0.8250411152839661,0.7165936827659607,0.2027994841337204,3.1325886249542236,12
54,4,512,1842,10,16,49831,0.8424393534660339,0.5471898913383484,0.1929253488779068,3.526623010635376,21
55,5,16,1842,10,16,51133,0.27463942766189575,2.3657710552215576,0.2129991352558136,2.6183128356933594,3
56,5,64,1842,10,16,51330,0.5361083745956421,1.6652616262435913,0.19716796278953552,2.7085700035095215,5
57,5,128,1842,10,16,52196,0.726025402545929,1.1127408742904663,0.18935546278953552,2.913353204727173,8
58,5,256,1842,10,16,52299,0.8143066167831421,0.7377492785453796,0.19521483778953552,3.172123670578003,13
59,5,512,1842,10,16,52084,0.8314453363418579,0.5731499195098877,0.19208984076976776,3.546833038330078,23
60,2,16,1842,10,32,34848,0.23560474812984467,2.9525082111358643,0.2058919221162796,3.21296763420105,3
61,2,64,1842,10,32,35053,0.3765190839767456,2.2389562129974365,0.1936848908662796,3.250030517578125,5
62,2,128,1842,10,32,34297,0.6005859375,1.5781832933425903,0.1808268278837204,3.396373987197876,7
63,2,256,1842,10,32,35008,0.7486617565155029,1.0330898761749268,0.1614583283662796,3.6899404525756836,13
64,2,512,1842,10,32,34944,0.7779224514961243,0.7712294459342957,0.1549479216337204,4.137734413146973,23
65,3,16,1842,10,32,44161,0.22320197522640228,2.9736757278442383,0.192626953125,3.237204074859619,3
66,3,64,1842,10,32,44130,0.3667566776275635,2.2623684406280518,0.1927490234375,3.282911777496338,905
67,3,128,1842,10,32,44368,0.5928308963775635,1.5775483846664429,0.1669921875,3.4512782096862793,8
68,3,256,1842,10,32,44184,0.724236011505127,1.063689947128296,0.15576171875,3.815455436706543,932
69,3,512,1842,10,32,44274,0.7466394901275635,0.8351747989654541,0.145751953125,4.357203483581543,28
70,4,16,1842,10,32,49035,0.21612870693206787,2.9869911670684814,0.1915147602558136,3.22660493850708,4
71,4,64,1842,10,32,49647,0.3740748465061188,2.2273404598236084,0.1732855886220932,3.324730396270752,6
72,4,128,1842,10,32,50023,0.5875149965286255,1.5828975439071655,0.1519097238779068,3.523594856262207,10
73,4,256,1842,10,32,49214,0.7074938416481018,1.0924415588378906,0.1494140625,3.85994553565979,17
74,4,512,1842,10,32,49125,0.7306486368179321,0.8737627267837524,0.1459418386220932,4.337324142456055,980
75,5,16,1842,10,32,51068,0.20991085469722748,2.998538017272949,0.1803385466337204,3.2505741119384766,3
76,5,64,1842,10,32,51601,0.3663085997104645,2.2480993270874023,0.17080077528953552,3.328981399536133,5
77,5,128,1842,10,32,51444,0.577197253704071,1.6053434610366821,0.15957030653953552,3.496302366256714,10
78,5,256,1842,10,32,53049,0.6980040073394775,1.1058567762374878,0.14052733778953552,3.8943824768066406,18
79,5,512,1842,10,32,51257,0.712597668170929,0.9183589220046997,0.13994140923023224,4.332576751708984,34
